! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
200.000000	0.932707  	200.000000	1.1103    	200.000000	1.11193   	200.000000	1.10203   	200.000000	1.11196   	200.000000	1.10999   	200.000000	0.000309431	
210.000000	0.904862  	210.000000	1.07598   	210.000000	1.07796   	210.000000	1.06794   	210.000000	1.07795   	210.000000	1.07568   	210.000000	0.000295859	
220.000000	0.879403  	220.000000	1.04468   	220.000000	1.04691   	220.000000	1.03687   	220.000000	1.04693   	220.000000	1.04439   	220.000000	0.000283469	
230.000000	0.856036  	230.000000	1.01601   	230.000000	1.01854   	230.000000	1.00845   	230.000000	1.01854   	230.000000	1.01574   	230.000000	0.000272112	
240.000000	0.834511  	240.000000	0.989668  	240.000000	0.992481  	240.000000	0.982346  	240.000000	0.992452  	240.000000	0.989406  	240.000000	0.000261661	
250.000000	0.814618  	250.000000	0.965373  	250.000000	0.968423  	250.000000	0.958298  	250.000000	0.968414  	250.000000	0.965121  	250.000000	0.000252012	
260.000000	0.796177  	260.000000	0.9429    	260.000000	0.94618   	260.000000	0.936072  	260.000000	0.946185  	260.000000	0.942657  	260.000000	0.000243074	
270.000000	0.779035  	270.000000	0.922053  	270.000000	0.925564  	270.000000	0.915475  	270.000000	0.925582  	270.000000	0.921819  	270.000000	0.000234771	
280.000000	0.763059  	280.000000	0.902664  	280.000000	0.906405  	280.000000	0.896335  	280.000000	0.906424  	280.000000	0.902437  	280.000000	0.000227037	
290.000000	0.748135  	290.000000	0.884587  	290.000000	0.888556  	290.000000	0.878507  	290.000000	0.888584  	290.000000	0.884367  	290.000000	0.000219813	
300.000000	0.734162  	300.000000	0.867695  	300.000000	0.87189   	300.000000	0.861863  	300.000000	0.871911  	300.000000	0.867482  	300.000000	0.000213052	
